Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya,KEN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,16.07237892,11.91066998,19.45701357,16.93917593,13.93188854,11.18301838,4.990242543,4.682503426,5.49108993,5.209268906,4.322893692,3.078137332,4.283012571,2.842205323,2.862699339,7.129963899,9.329059031,9.228373561,4.199397517,6.186933464,3.455911954,3.210051808,10.68968638,12.99024488,14.80761424,4.199397517,6.186933464,3.455911954,3.210051808,10.68968638,12.98916273,15.04614163,14.99176619,19.02378907,18.61937491,14.09106969,14.47529052,16.38014858,17.43498375,21.60722455,18.80409768,18.6843399,17.2476471,16.32342064,17.15161375,
Kenya,KEN,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,15.40023417,9.975648934,13.04533907,13.68860594,12.13233595,11.3262993,12.05713933,11.5902622,9.913092799,11.39163735,10.5014775,12.5438203,,,29.2458409,20.13363972,35.86020474,27.98103125,28.82224538,27.5589531,26.33678615,25.22860125,23.5807636,22.11810881,20.68589002,23.09644794,23.73114667,24.08327496,25.60018285,31.88734219,35.50656761,36.76798915,36.48321099,36.40395638,33.93829191,,,36.26652655,,31.48984464,31.480342,28.2853901,28.42564885,30.77102317,
Kenya,KEN,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,249600000.00,243300000.00,252700000.00,268300000.00,212500000.00,246700000.00,314800000.00,298900000.00,355658000.00,361568000.00,443495000.00,569490000.00,539717000.00,616406000.00,1026320000.00,938601000.00,972859000.00,1289105000.00,1711785000.00,1659749000.00,2588343000.00,2045554000.00,1602986000.00,1379110000.00,1500702000.00,1436073118.00,1613177122.00,1739195691.00,1988741823.00,2147672915.00,2048285000.00,2178172000.00,1883186636.00,1906153646.00,2142478659.00,3249143347.00,2750597762.00,3246509899.00,3301775966.00,3100429272.00,3252699357.00,3664541994.00,3260067627.00,3702022590.00,958336134.00,5892052974.00,7185631399.00,8920021946.00,11619921006.00,9869716853.00,11476958383.00,14556795792.00,16027413678.00,16098863377.00,18050867589.00,16192636525.00,14101181671.00,16681481187.00,17425820766.00,17329580727.00,
Kenya,KEN,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,25.73117505,22.25359825,18.02412083,23.90678999,33.86399029,37.32050798,37.13517374,36.32199479,30.6297178,31.68135866,18.18106879,20.05501578,,,19.88193519,18.62245149,25.15340645,14.9221032,12.52936874,14.67100955,16.41862432,16.16920862,17.49935414,15.76675225,22.19580906,20.8680799,15.15244578,23.09089749,24.27808399,22.93630945,24.19966089,21.3306144,27.22340089,21.43831028,22.08075432,,,23.6075442,,15.44699983,14.7862867,16.3458551,19.47988117,19.22293215,
Kenya,KEN,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23,,,,,17.57,20.9,20.45,16.84,,16.66,12.42,12.32,12.13,12.09,12.17,12.55,12.41,12.05,11.72,11.88,11.96,12.11,,12.56,13.08,
Kenya,KEN,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192000000,169000000,145000000,155000000,182000000,132000000,143000000,126000000,127000000,108000000,124000000,178000000,265000000,266000000,227000000,212000000,197000000,174000000,233000000,206000000,217000000,145000000,262000000,229000000,196000000,
Kenya,KEN,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,60,,,,,66.9,,,,,,
Kenya,KEN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.03,,,,,1.03,,,,,1.03,,,,,1.03,,,,,1.03,,,,,1.03,,,1.03,,1.03,,,,,1.03,,,,,1.03,,,,,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,
Kenya,KEN,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,2.33837077,2.292195538,2.245849481,2.199696982,2.15378803,2.107799747,2.043157556,1.982172789,1.92558084,1.874237659,1.828439666,1.774072245,1.726079724,1.684632427,1.650443724,1.623352778,1.589905379,1.565284541,1.546453052,1.529647232,1.513135117,1.48785085,1.464462944,1.445455077,1.434227821,1.431879297,1.425110833,1.425303489,1.431230672,1.441920851,1.456312025,1.460012954,1.469332249,1.478771766,1.481054908,1.472677319,1.44796929,1.416242189,1.380093015,1.342156114,1.304300209,1.256269365,1.210512824,1.173932557,1.155730557,1.159792425,1.181774182,1.22096208,1.270907432,1.324190615,1.376567314,1.423847589,1.473480434,1.522957933,1.568807108,1.609293431,1.642296231,1.671682692,1.700019986,1.730478533,1.764521515
Kenya,KEN,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.640881511,7.389667494,7.127388938,6.902804656,6.77928417,6.78554816,6.877611155,7.075874664,7.338598742,7.609715782,7.856100998,8.066406453,8.260275604,8.428038429,8.56146139,8.657700317,8.697864934,8.708555132,8.701068332,8.690741503,8.68698372,8.679091011,8.678634509,8.684327246,8.694171056,8.707753411,8.710905729,8.722389996,8.746902612,8.792374557,8.86284146,8.962005994,9.087518831,9.225019473,9.354095909,9.462577953,9.54795268,9.609500008,9.662890898,9.729245883,9.815706554,9.864369758,9.940794634,10.02740069,10.09987983,10.14540773,10.14663766,10.13094376,10.09149372,10.01961755,9.913310004,9.754748068,9.565522495,9.381534868,9.252724257,9.205921547,9.228525199,9.32153309,9.454393988,9.581372912,9.675130161
